"Uni","GPA","Grad","ID"
"Anderford",2.61,2015,126
"Anderford",2.87,1994,127
"Anderford",3.07,1997,128
"Anderford",2.2,1995,129
"Anderford",3.19,1998,130
"Anderford",2.97,2000,131
"Anderford",2.82,2007,132
"Anderford",1.6,2009,133
"Anderford",1.2,2018,134
"Anderford",2.72,2000,135
"Anderford",1.31,2016,136
"Anderford",3.62,2020,137
"Anderford",1.14,1998,138
"Anderford",2.42,2012,139
"Anderford",2.08,2012,140
"Anderford",2.18,2023,141
"Anderford",2.71,2016,142
"Anderford",2.59,2013,143
"Anderford",2.19,2006,144
"Anderford",1.35,2002,145
"Anderford",2.31,2009,146
"Anderford",1.25,1993,147
"Anderford",2.96,1995,148
"Anderford",1.76,2019,149
"Anderford",2.92,2012,150
"Anderford",1.21,1990,151
"Anderford",2.93,2019,152
"Anderford",3.04,1990,153
"Anderford",3.41,1998,154
"Anderford",2.03,2000,155
"Anderford",1.29,2019,156
"Anderford",1.11,2003,157
"Anderford",1.64,1998,158
"Anderford",3.18,2023,159
"Anderford",2.94,2001,160
"Anderford",2.71,1996,161
"Anderford",1.28,1996,162
"Anderford",1.25,2017,163
"Anderford",1.28,2004,164
"Anderford",2.86,1991,165
"Anderford",3.35,2004,166
"Anderford",1.42,1994,167
"Anderford",2.02,2015,168
"Anderford",1.16,2014,169
"Anderford",3.14,2007,170
"Anderford",3.53,2005,171
"Anderford",2.26,1999,172
"Anderford",3.05,2023,173
"Anderford",2.93,1997,174
"Anderford",2.51,2009,175
"Anderford",2.86,2020,176
"Anderford",3.85,1998,177
"Anderford",1.55,2000,178
"Anderford",2.08,2022,179
"Anderford",3.71,1991,180
"Anderford",1.47,2022,181
"Anderford",3.82,1993,182
"Anderford",2.69,2006,183
"Anderford",1.21,1997,184
"Anderford",2.78,2015,185
"Anderford",2.62,1991,186
"Anderford",3.52,2020,187
"Anderford",2.26,2006,188
"Anderford",3.8,1997,189
"Anderford",2.52,1999,190
"Anderford",1.79,2012,191
"Anderford",2.67,2008,192
"Anderford",3.21,2021,193
"Anderford",3.06,1990,194
"Anderford",3.67,2009,195
"Anderford",3.51,2007,196
"Anderford",3.74,2009,197
"Anderford",3.44,2022,198
"Anderford",2.15,2001,199
"Anderford",1.4,1992,200
"Anderford",1.22,2021,201
"Anderford",1.39,2008,202
"Anderford",1.8,2016,203
"Anderford",2.23,2008,204
"Anderford",3.06,1990,205
"Anderford",2.42,2004,206
"Anderford",2.38,2010,207
"Anderford",2.7,2007,208
"Anderford",3.3,2003,209
"Anderford",3.03,2007,210
"Anderford",3.42,1995,211
"Anderford",2.95,2001,212
"Anderford",2.78,2002,213
"Anderford",3.73,2020,214
"Anderford",1.74,1991,215
"Anderford",1.46,1998,216
"Anderford",3.31,2018,217
"Anderford",3.61,2018,218
"Anderford",3.97,2008,219
"Anderford",1.54,1994,220
"Anderford",3.48,1995,221
"Anderford",3.01,2022,222
"Anderford",1.5,2010,223
"Anderford",3.6,2007,224
"Anderford",2.91,2012,225
"Anderford",2.22,2004,226
"Anderford",3.32,2008,227
"Anderford",3.87,2013,228
"Anderford",1.49,2020,229
"Anderford",2.61,2022,230
"Anderford",2.91,2005,231
"Anderford",3.61,1992,232
"Anderford",3.67,1996,233
"Anderford",3.76,2020,234
"Anderford",1.88,2013,235
"Anderford",3.27,2017,236
"Anderford",2.35,1991,237
"Anderford",2.02,2023,238
"Anderford",1.77,1995,239
"Anderford",3.73,2015,240
"Anderford",1.01,2007,241
"Anderford",1.94,1992,242
"Anderford",2.5,1992,243
"Anderford",1.62,2019,244
"Anderford",3.69,2002,245
"Anderford",2.07,2008,246
"Anderford",3.74,2015,247
"Anderford",2.97,1997,248
"Anderford",3.92,1996,249
"Anderford",1.81,2001,250
"Anderford",3.45,2007,251
"Anderford",2.85,2004,252
"Anderford",2.23,2020,253
"Anderford",3.97,1995,254
"Anderford",3.72,2006,255
"Anderford",1.86,2019,256
"Anderford",1.71,2008,257
"Anderford",1.86,2017,258
"Anderford",1.66,2000,259
"Anderford",2.1,1998,260
"Anderford",2.68,1995,261
"Anderford",1.51,2015,262
"Anderford",2.24,2011,263
"Anderford",1.4,1997,264
"Anderford",3.35,1993,265
"Anderford",2,2005,266
"Anderford",1.91,2023,267
"Anderford",1.99,2008,268
"Anderford",1.72,2003,269
"Anderford",3.96,1992,270
"Anderford",1.53,2011,271
"Anderford",2.89,2008,272
"Anderford",3.12,2020,273
"Anderford",3.74,2002,274
"Anderford",3.88,2021,275
"Anderford",2.77,2005,276
"Anderford",2.95,2011,277
"Anderford",1.94,1993,278
"Anderford",1.69,2016,279
"Anderford",1.65,1993,280
"Anderford",2.85,1992,281
"Anderford",1.6,2017,282
"Anderford",1.48,2017,283
"Anderford",3.94,1990,284
"Anderford",2.39,1991,285
"Anderford",1.64,2000,286
"Anderford",1.39,2005,287
"Anderford",3.77,1997,288
"Anderford",2.9,2000,289
"Anderford",1.23,1997,290
"Anderford",3.91,2012,291
"Anderford",1.78,2019,292
"Anderford",2.99,2015,293
"Anderford",3.12,1995,294
"Anderford",1.34,2023,295
"Anderford",2.37,2009,296
"Anderford",1.69,2016,297
"Anderford",3.54,2012,298
"Anderford",1.25,2003,299
"Anderford",1.21,2006,300
"Anderford",2.97,2003,301
"Anderford",3.52,1998,302
"Anderford",2.51,2003,303
"Anderford",2.19,2006,304
"Anderford",2.12,2011,305
"Anderford",1.03,2020,306
"Anderford",1.85,2014,307
"Anderford",2.97,2010,308
"Anderford",1.3,2001,309
"Anderford",1.09,1999,310
"Anderford",3.81,2019,311
"Anderford",1.92,2012,312
"Anderford",2.51,2016,313
"Anderford",2.79,2019,314
"Anderford",1.61,2003,315
"Anderford",2.24,2014,316
"Anderford",2.84,1997,317
"Anderford",3.34,2011,318
"Anderford",1.44,2005,319
"Anderford",2.72,2023,320
"Anderford",3.1,2008,321
"Anderford",3.21,2009,322
"Anderford",2.23,2011,323
"Anderford",3.5,2015,324
"Anderford",2.53,1990,325
"Anderford",3.19,2020,326
"Anderford",1.12,1992,327
"Anderford",3.52,2021,328
"Anderford",2.12,2010,329
"Anderford",1.42,2006,330
"Anderford",2.37,1993,331
"Anderford",1.74,2004,332
"Anderford",3.49,2000,333
"Anderford",1.09,2008,334
"Anderford",3.98,1999,335
"Anderford",1.4,2023,336
"Anderford",3.14,1992,337
"Anderford",1.24,2021,338
"Anderford",3.12,1993,339
"Anderford",3.75,1994,340
"Anderford",1.83,2017,341
"Anderford",2.81,1999,342
"Anderford",2.75,2016,343
"Anderford",3.74,1998,344
"Anderford",3.55,2023,345
"Anderford",1.45,1995,346
"Anderford",1.56,2004,347
"Anderford",1.71,2012,348
"Anderford",3.3,1991,349
"Anderford",3.76,2002,350
"Anderford",1.87,2002,351
"Anderford",3.48,2021,352
"Anderford",2.78,1997,353
"Anderford",3.33,2001,354
"Anderford",1.59,2008,355
"Anderford",3.03,2023,356
"Anderford",2.34,2013,357
"Anderford",3.67,2015,358
"Anderford",2.29,1994,359
"Anderford",2.23,2004,360
"Anderford",2.14,2020,361
"Anderford",3.11,2011,362
"Anderford",1.75,2002,363
"Anderford",2,2019,364
"Anderford",2.48,2000,365
"Anderford",1.54,2006,366
"Anderford",2.95,2009,367
"Anderford",1.92,2007,368
"Anderford",2.94,2014,369
"Anderford",3.97,2001,370
"Anderford",1.45,2020,371
"Anderford",3.57,2009,372
"Anderford",1.73,1994,373
"Anderford",2.2,2015,374
"Anderford",1.8,1996,375
"Anderford",3.14,1999,376
"Anderford",1.8,2010,377
"Anderford",2.73,2023,378
"Anderford",3.78,1990,379
"Anderford",3.71,1999,380
"Anderford",3.44,2005,381
"Anderford",3.94,2023,382
"Anderford",2.78,2002,383
"Anderford",3.57,2002,384
"Anderford",1.89,2001,385
"Anderford",2.18,2008,386
"Anderford",3.02,2001,387
"Anderford",2.93,1993,388
"Anderford",2.65,2008,389
"Anderford",2.38,2019,390
"Anderford",1.31,1993,391
"Anderford",3.53,2019,392
"Anderford",2.61,2003,393
"Anderford",2.52,2011,394
"Anderford",2.77,2019,395
"Anderford",1.6,2007,396
"Anderford",1.67,2023,397
"Anderford",3.92,1996,398
"Anderford",1.12,2011,399
"Anderford",3.9,2006,400
"Anderford",3.53,2020,401
"Anderford",1,2022,402
"Anderford",2.32,1992,403
"Anderford",3.6,2020,404
"Anderford",3.6,2010,405
"Anderford",3.05,2012,406
"Anderford",3.35,1995,407
"Anderford",2.21,2021,408
"Anderford",1.74,2022,409
"Anderford",3.37,2007,410
"Anderford",1.84,1996,411
"Anderford",2.82,2016,412
"Anderford",2.46,2010,413
"Anderford",1.98,1997,414
"Anderford",3.43,2023,415
"Anderford",3.02,2020,416
"Anderford",1.73,2003,417
"Anderford",1.19,2016,418
"Anderford",2.16,2008,419
"Anderford",1.8,2014,420
"Anderford",1.41,2019,421
"Anderford",1.2,2008,422
"Anderford",3.24,2019,423
"Anderford",3.35,2015,424
"Anderford",1.02,2001,425
"Anderford",1.81,2001,426
"Anderford",1.96,2003,427
"Anderford",2.54,2017,428
"Anderford",3.37,2003,429
"Anderford",2.52,2017,430
"Anderford",1.94,1997,431
"Anderford",2.5,2019,432
"Anderford",2.87,2009,433
"Anderford",1.86,2008,434
"Anderford",3.99,2022,435
"Anderford",3.08,2001,436
"Anderford",1.35,1996,437
"Anderford",3.3,2009,438
"Anderford",1.38,2023,439
"Anderford",1.54,1999,440
"Anderford",3.3,2007,441
"Anderford",1.37,2015,442
"Anderford",3.82,2011,443
"Anderford",2.26,1991,444
"Anderford",2.59,2020,445
"Anderford",2.55,2010,446
"Anderford",1.16,1999,447
"Anderford",1.82,2015,448
"Anderford",3.82,1996,449
"Anderford",2.02,2019,450
"Anderford",3.59,2008,451
"Anderford",1.64,2017,452
"Anderford",3.53,2004,453
"Anderford",1.83,1992,454
"Anderford",3.9,1994,455
"Anderford",3.43,2001,456
"Anderford",1.81,1997,457
"Anderford",1.05,2000,458
"Anderford",3.21,2012,459
"Anderford",2.52,1998,460
"Anderford",1.19,2006,461
"Anderford",3.31,1994,462
"Anderford",1.63,2021,463
"Anderford",3.87,1990,464
"Anderford",2.1,2003,465
"Anderford",1.01,2016,466
"Anderford",1.7,2020,467
"Anderford",2.51,2003,468
"Anderford",2.6,2022,469
"Anderford",2.14,2016,470
"Anderford",3.51,2019,471
"Anderford",3.6,1993,472
"Anderford",3.29,1991,473
"Anderford",2.02,1990,474
"Anderford",3.05,2018,475
"Anderford",3.35,2001,476
"Anderford",1.65,1991,477
"Anderford",2.56,2008,478
"Anderford",2.16,2007,479
"Anderford",2.04,2008,480
"Anderford",1.64,2016,481
"Anderford",2.75,1990,482
"Anderford",1.53,2003,483
"Anderford",2.42,1996,484
"Anderford",3.37,2017,485
"Anderford",2.56,1992,486
"Anderford",3.57,1997,487
"Anderford",3.91,1992,488
"Anderford",2.91,1998,489
"Anderford",2.57,1993,490
"Anderford",3.33,1996,491
"Anderford",1.7,2003,492
"Anderford",3.44,1997,493
"Anderford",2.46,2004,494
"Anderford",3.32,1991,495
"Anderford",2.46,2018,496
"Anderford",3.92,2009,497
"Anderford",2.36,2015,498
"Anderford",2.1,2022,499
"Anderford",2.31,1997,500
"Anderford",1.06,2016,501
"Anderford",2.71,2022,502
"Anderford",1.47,1996,503
"Anderford",2.21,2019,504
"Anderford",3.31,2010,505
"Anderford",2.19,2015,506
"Anderford",1.76,2019,507
"Anderford",3.35,2020,508
"Anderford",1.58,2005,509
"Anderford",3.44,2023,510
"Anderford",1.15,1999,511
"Anderford",2.38,2017,512
"Anderford",3.69,2013,513
"Anderford",2.02,2023,514
"Anderford",2.88,1995,515
"Anderford",1.35,1997,516
"Anderford",3.72,2005,517
"Anderford",1.29,2021,518
"Anderford",1.95,1999,519
"Anderford",1.69,1994,520
"Anderford",2.43,1990,521
"Anderford",2.91,2010,522
"Anderford",1.4,1991,523
"Anderford",3.03,1992,524
"Anderford",3.73,2008,525
"Anderford",3.99,2015,526
"Anderford",1.66,2006,527
"Anderford",2.49,1994,528
"Anderford",2.73,2019,529
"Anderford",3.89,2002,530
"Anderford",1.09,2020,531
"Anderford",3.12,2006,532
"Anderford",1.02,2015,533
"Anderford",2.78,2021,534
"Anderford",1.95,2018,535
"Anderford",2.81,2019,536
"Anderford",1.4,2019,537
"Anderford",1.56,2003,538
"Anderford",1.66,2020,539
"Anderford",1.87,2009,540
"Anderford",2.46,1993,541
"Anderford",2.36,2001,542
"Anderford",3.11,2004,543
"Anderford",2.57,2005,544
"Anderford",2.31,1999,545
"Anderford",3.44,2010,546
"Anderford",3.08,2016,547
"Anderford",2.26,2022,548
"Anderford",2.73,2017,549
"Anderford",2.42,1995,550
"Anderford",2.03,2003,551
"Anderford",3.05,2021,552
"Anderford",3.24,2017,553
"Anderford",3.65,2023,554
"Anderford",3.89,2017,555
"Anderford",3.97,1996,556
"Anderford",1.22,1993,557
"Anderford",3.5,2018,558
"Anderford",1.83,2006,559
"Anderford",3,1993,560
"Anderford",3.17,2018,561
"Anderford",1.64,2006,562
"Anderford",3.12,2015,563
"Anderford",3.33,1990,564
"Anderford",2.55,1994,565
"Anderford",1.14,2005,566
"Anderford",2.17,1995,567
"Anderford",2.77,1996,568
"Anderford",2.24,2019,569
"Anderford",1.62,1992,570
"Anderford",2.54,1991,571
"Anderford",2.73,2022,572
"Anderford",1.06,2002,573
"Anderford",1.69,2021,574
"Anderford",2.11,2022,575
"Anderford",2.36,2023,576
"Anderford",2.47,2010,577
"Anderford",1.4,2014,578
"Anderford",3.53,1996,579
"Anderford",3.52,2004,580
"Anderford",2.16,2006,581
"Anderford",3.5,1998,582
"Anderford",2.29,2018,583
"Anderford",1.52,2001,584
"Anderford",1.57,1994,585
"Anderford",1.24,1992,586
"Anderford",2.46,2012,587
"Anderford",2.22,2022,588
"Anderford",1.46,2021,589
"Anderford",3.73,2011,590
"Anderford",2.15,1995,591
"Anderford",1.54,1994,592
"Anderford",1.66,1996,593
"Anderford",3.11,2020,594
"Anderford",1.48,2012,595
"Anderford",3.98,1996,596
"Anderford",2.79,1997,597
"Anderford",2.23,2017,598
"Anderford",3.94,2010,599
"Anderford",2.55,2007,600
"Anderford",1.07,1993,601
"Anderford",1.5,1998,602
"Anderford",1.28,2011,603
"Anderford",3.08,2004,604
"Anderford",2.17,1995,605
"Anderford",3.85,1990,606
"Anderford",2.74,1997,607
"Anderford",1.38,2013,608
"Anderford",2.82,2021,609
"Anderford",3.06,1990,610
"Anderford",3.98,2007,611
"Anderford",3.14,2013,612
"Anderford",1.91,2012,613
"Anderford",2.78,2000,614
"Anderford",3.77,2013,615
"Anderford",3.55,2006,616
"Anderford",3.03,2020,617
"Anderford",2.85,1991,618
"Anderford",3.22,1997,619
"Anderford",1.83,2006,620
"Anderford",3.74,2014,621
"Anderford",2.19,1999,622
"Anderford",2.52,2020,623
"Anderford",1.61,2015,624
"Anderford",2.75,1998,625
"Anderford",3.87,2022,626
"Anderford",1.76,2010,627
"Anderford",3.56,1995,628
"Anderford",1.45,1999,629
"Anderford",2.97,1993,630
"Anderford",2.18,1996,631
"Anderford",1.42,2013,632
"Anderford",3.38,2001,633
"Anderford",1.17,2004,634
"Anderford",2.24,1997,635
"Anderford",3.68,1995,636
"Anderford",2.87,2008,637
"Anderford",1.59,2001,638
"Anderford",2.3,2005,639
"Anderford",2.19,2000,640
"Anderford",1.62,2002,641
"Anderford",2.11,2012,642
"Anderford",1.57,1999,643
"Anderford",2.79,1994,644
"Anderford",2.33,2017,645
"Anderford",2.46,2007,646
"Anderford",2.19,2017,647
"Anderford",1.77,2004,648
"Anderford",1.47,2012,649
"Anderford",1,2014,650
"Anderford",3.89,2001,651
"Anderford",3.17,2002,652
"Anderford",1.05,1998,653
"Anderford",2.03,2017,654
"Anderford",3.05,2016,655
"Anderford",1.41,2000,656
"Anderford",3.17,1995,657
"Anderford",3.5,1990,658
"Anderford",3.32,2021,659
"Anderford",3.72,2005,660
"Anderford",3.56,2007,661
"Anderford",1.13,2011,662
"Anderford",1.88,1999,663
"Anderford",3.67,1994,664
"Anderford",1.96,2013,665
"Anderford",3.45,1992,666
"Anderford",3.59,2001,667
"Anderford",2.57,2019,668
"Anderford",2.57,2014,669
"Anderford",1.16,1991,670
"Anderford",1.41,2011,671
"Anderford",1.78,2021,672
"Anderford",1.68,1992,673
"Anderford",1.45,2018,674
"Anderford",3.57,2005,675
"Anderford",3.07,2002,676
"Anderford",2.23,1997,677
"Anderford",3.51,1990,678
"Anderford",1.31,2011,679
"Anderford",2.72,2003,680
"Anderford",1.83,2006,681
"Anderford",1.28,2019,682
"Anderford",2.52,1995,683
"Anderford",2.49,2002,684
"Anderford",3.6,2002,685
"Anderford",3.79,2022,686
"Anderford",2.44,2007,687
"Anderford",3.43,1993,688
"Anderford",2.95,2023,689
"Anderford",1.35,1997,690
"Anderford",3.1,2007,691
"Anderford",3.12,1990,692
"Anderford",3.94,2001,693
"Anderford",1.62,2009,694
"Anderford",2.58,2000,695
"Anderford",3.68,2021,696
"Anderford",1.17,1997,697
"Anderford",1.58,2016,698
"Anderford",1.9,2020,699
"Anderford",1.58,2019,700
"Anderford",3.48,1991,701
"Anderford",1.54,2008,702
"Anderford",2.85,2009,703
"Anderford",3.77,2005,704
"Anderford",1.68,2004,705
"Anderford",1.9,1998,706
"Anderford",3.79,2015,707
"Anderford",1.38,2006,708
"Anderford",3.4,2000,709
"Anderford",2.41,2022,710
"Anderford",2.84,1995,711
"Anderford",2.68,2004,712
"Anderford",3.46,2010,713
"Anderford",3.23,2002,714
"Anderford",2.9,1992,715
"Anderford",1.9,2019,716
"Anderford",3.26,1998,717
"Anderford",1.68,2022,718
"Anderford",3.35,2015,719
"Anderford",2.63,2011,720
"Anderford",3.18,2000,721
"Anderford",3.43,2008,722
"Anderford",3.11,2009,723
"Anderford",2.07,1995,724
"Anderford",2.34,2021,725
"Anderford",3.83,2012,726
"Anderford",3.61,2017,727
"Anderford",3.59,1994,728
"Anderford",1.3,2002,729
"Anderford",3.85,2016,730
"Anderford",2.53,2014,731
"Anderford",3.96,2011,732
"Anderford",2.53,1999,733
"Anderford",1.63,2006,734
"Anderford",2.35,2013,735
"Anderford",2.95,1998,736
"Anderford",1.84,2015,737
"Anderford",1.57,2011,738
"Anderford",1.05,2005,739
"Anderford",2.55,2006,740
"Anderford",3.6,1991,741
"Anderford",2.5,1995,742
"Anderford",2.75,2014,743
"Anderford",3.11,2002,744
"Anderford",2.7,2021,745
"Anderford",2.9,1995,746
"Anderford",1.21,2009,747
"Anderford",1.34,1996,748
"Anderford",1.4,2008,749
"Anderford",3.39,2004,750
"Anderford",1.42,2013,751
"Anderford",1.36,2023,752
"Anderford",1.91,1993,753
"Anderford",3.45,2011,754
"Anderford",1.74,2008,755
"Anderford",1.39,1992,756
"Anderford",2.01,2011,757
"Anderford",3.43,2009,758
"Anderford",1.56,1998,759
"Anderford",1.83,1992,760
"Anderford",2.35,2001,761
"Anderford",2.65,2018,762
"Anderford",1.56,2022,763
"Anderford",1.26,2008,764
"Anderford",1.45,2013,765
"Anderford",2.83,1997,766
"Anderford",3.2,2009,767
"Anderford",1.94,2023,768
"Anderford",3.08,2014,769
"Anderford",3.39,2019,770
"Anderford",2.35,2022,771
"Anderford",3.45,2016,772
"Anderford",2.08,2020,773
"Anderford",1.42,1997,774
"Anderford",2.46,1997,775
"Anderford",3.12,2022,776
"Anderford",2.22,2016,777
"Anderford",3.97,1995,778
"Anderford",3.08,2002,779
"Anderford",3.11,2007,780
"Anderford",1.04,1998,781
"Anderford",2.86,2013,782
"Anderford",2.93,2014,783
"Anderford",3,2003,784
"Anderford",2.19,1998,785
"Anderford",2.82,1993,786
"Anderford",3.62,1991,787
"Anderford",2.14,2002,788
"Anderford",3.13,1997,789
"Anderford",1.41,1990,790
"Anderford",1.45,2008,791
"Anderford",1.67,2000,792
"Anderford",1.36,1998,793
"Anderford",3.46,2015,794
"Anderford",1.53,2006,795
"Anderford",1.5,1991,796
"Anderford",2.93,2011,797
"Anderford",1.65,2015,798
"Anderford",3.02,1992,799
"Anderford",2.76,2004,800
"Anderford",3.75,1996,801
"Anderford",3.15,1990,802
"Anderford",2.57,1994,803
"Anderford",2.96,1991,804
"Anderford",3.24,1995,805
"Anderford",2.49,1995,806
"Anderford",1.81,2000,807
"Anderford",2.33,1993,808
"Anderford",1.36,2003,809
"Anderford",2.9,1999,810
"Anderford",3.8,2012,811
"Anderford",2.1,2004,812
"Anderford",2.39,2003,813
"Anderford",1.24,2011,814
"Anderford",3.14,1990,815
"Anderford",1.55,1991,816
"Anderford",3.05,2004,817
"Anderford",3.72,2003,818
"Anderford",2.56,2003,819
"Anderford",2.65,2008,820
"Anderford",1.74,1999,821
"Anderford",1.1,1994,822
"Anderford",3.87,1996,823
"Anderford",1.69,2022,824
"Anderford",2.4,2021,825
"Anderford",2.47,2003,826
"Anderford",2.95,1991,827
"Anderford",1.18,2006,828
"Anderford",3.45,2003,829
"Anderford",2.51,2015,830
"Anderford",1.81,2017,831
"Anderford",3.71,1993,832
"Anderford",2.98,2017,833
"Anderford",3.66,2013,834
"Anderford",2.79,2023,835
"Anderford",3.84,2014,836
"Anderford",3.25,2007,837
"Anderford",2.54,2015,838
"Anderford",2.63,1996,839
"Anderford",2.83,2009,840
"Anderford",3.98,1993,841
"Anderford",1.96,1995,842
"Anderford",1.41,2005,843
"Anderford",2.98,2012,844
"Anderford",2.28,2000,845
"Anderford",2.01,2022,846
"Anderford",2.75,1992,847
"Anderford",1.29,2006,848
"Anderford",3.17,1994,849
"Anderford",2.14,2022,850
"Anderford",2.53,2019,851
"Anderford",2.86,2008,852
"Anderford",2.77,1998,853
"Anderford",3.58,2017,854
"Anderford",2.43,2001,855
"Anderford",2.18,2022,856
"Anderford",3.54,2011,857
"Anderford",3.85,1997,858
"Anderford",3.55,2021,859
"Anderford",2.15,2000,860
"Anderford",1.23,2002,861
"Anderford",3.18,1996,862
"Anderford",2.09,2011,863
"Anderford",1.27,2009,864
"Anderford",2.66,2021,865
"Anderford",3.28,1998,866
"Anderford",2.98,2001,867
"Anderford",3.32,2000,868
"Anderford",2.45,2003,869
"Anderford",1.12,2011,870
"Anderford",1.63,1995,871
"Anderford",3.6,2008,872
"Anderford",2.54,2000,873
"Anderford",3.34,2003,874
"Anderford",2.89,2011,875
"Anderford",3.59,2013,876
"Anderford",2.25,2010,877
"Anderford",1.83,1997,878
"Anderford",3.33,2005,879
"Anderford",3.36,1994,880
"Anderford",2.82,1991,881
"Anderford",1.7,2015,882
"Anderford",1.04,2003,883
"Anderford",1.93,2019,884
"Anderford",3.1,1990,885
"Anderford",3.42,1994,886
"Anderford",3.62,2020,887
"Anderford",3.02,1991,888
"Anderford",2.02,1991,889
"Anderford",2.56,1992,890
"Anderford",1.22,2001,891
"Anderford",3.98,2002,892
"Anderford",1.56,2013,893
"Anderford",1.96,2022,894
"Anderford",1.15,2010,895
"Anderford",3,2012,896
"Anderford",2.22,2009,897
"Anderford",2.14,2008,898
"Anderford",1.35,2013,899
"Anderford",2.73,2001,900
"Anderford",3.49,2002,901
"Anderford",2.8,2013,902
"Anderford",2.37,2019,903
"Anderford",1.41,2013,904
"Anderford",3.73,2015,905
"Anderford",2.43,2016,906
"Anderford",2.63,2014,907
"Anderford",1.67,2012,908
"Anderford",2.33,2023,909
"Anderford",1.76,1997,910
"Anderford",2.8,2013,911
"Anderford",1.38,1991,912
"Anderford",1.77,2004,913
"Anderford",4,1992,914
"Anderford",2.86,2022,915
"Anderford",2.68,2002,916
"Anderford",1.01,2003,917
"Anderford",2.46,2017,918
"Anderford",3.42,1996,919
"Anderford",2.42,2020,920
"Anderford",2.12,2003,921
"Anderford",3.88,2000,922
"Anderford",2.44,2004,923
"Anderford",1.99,2011,924
"Anderford",3.54,2012,925
"Anderford",2.45,2007,926
"Anderford",1.03,1998,927
"Anderford",1.73,2001,928
"Anderford",1.63,1991,929
"Anderford",1.58,2002,930
"Anderford",2.23,2000,931
"Anderford",3.26,2005,932
